Filename,Test,Filename,Visit,Group,Exposure,Module,IGNORE,xshift (arcsec),yshift (arcsec),Notes
"/orange/adamginsburg/jwst/cloudc/F405N/pipeline/jw02221002001_08201_00004_nrcblong_destreak.fits',","jw02221002001_08201_00004_nrcblong_destreak.fits',",jw02221002001_08201_00004_nrcblong_destreak.fits,jw02221002001,8201,4,nrcblong,"destreak.fits',",7.95,-0.3,
"/orange/adamginsburg/jwst/cloudc/F405N/pipeline/jw02221002001_02201_00001_nrcblong_destreak.fits',","jw02221002001_02201_00001_nrcblong_destreak.fits',",jw02221002001_02201_00001_nrcblong_destreak.fits,jw02221002001,2201,1,nrcblong,"destreak.fits',",7.9,-0.3,
"/orange/adamginsburg/jwst/cloudc/F405N/pipeline/jw02221002002_08201_00001_nrcalong_destreak.fits',","jw02221002002_08201_00001_nrcalong_destreak.fits',",jw02221002002_08201_00001_nrcalong_destreak.fits,jw02221002002,8201,1,nrcalong,"destreak.fits',",3.9,1,
"/orange/adamginsburg/jwst/cloudc/F405N/pipeline/jw02221002001_08201_00002_nrcalong_destreak.fits',","jw02221002001_08201_00002_nrcalong_destreak.fits',",jw02221002001_08201_00002_nrcalong_destreak.fits,jw02221002001,8201,2,nrcalong,"destreak.fits',",8,-0.3,
"/orange/adamginsburg/jwst/cloudc/F405N/pipeline/jw02221002002_08201_00002_nrcblong_destreak.fits',","jw02221002002_08201_00002_nrcblong_destreak.fits',",jw02221002002_08201_00002_nrcblong_destreak.fits,jw02221002002,8201,2,nrcblong,"destreak.fits',",3.85,0.9,
"/orange/adamginsburg/jwst/cloudc/F405N/pipeline/jw02221002001_08201_00001_nrcblong_destreak.fits',","jw02221002001_08201_00001_nrcblong_destreak.fits',",jw02221002001_08201_00001_nrcblong_destreak.fits,jw02221002001,8201,1,nrcblong,"destreak.fits',",7.9,-0.3,
"/orange/adamginsburg/jwst/cloudc/F405N/pipeline/jw02221002001_02201_00003_nrcalong_destreak.fits',","jw02221002001_02201_00003_nrcalong_destreak.fits',",jw02221002001_02201_00003_nrcalong_destreak.fits,jw02221002001,2201,3,nrcalong,"destreak.fits',",7.85,-0.3,
"/orange/adamginsburg/jwst/cloudc/F405N/pipeline/jw02221002002_02201_00002_nrcalong_destreak.fits',","jw02221002002_02201_00002_nrcalong_destreak.fits',",jw02221002002_02201_00002_nrcalong_destreak.fits,jw02221002002,2201,2,nrcalong,"destreak.fits',",4,1,imperfect alignment
"/orange/adamginsburg/jwst/cloudc/F405N/pipeline/jw02221002001_08201_00004_nrcalong_destreak.fits',","jw02221002001_08201_00004_nrcalong_destreak.fits',",jw02221002001_08201_00004_nrcalong_destreak.fits,jw02221002001,8201,4,nrcalong,"destreak.fits',",8,-0.3,
"/orange/adamginsburg/jwst/cloudc/F405N/pipeline/jw02221002001_08201_00003_nrcalong_destreak.fits',","jw02221002001_08201_00003_nrcalong_destreak.fits',",jw02221002001_08201_00003_nrcalong_destreak.fits,jw02221002001,8201,3,nrcalong,"destreak.fits',",8,-0.3,
